"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_µg","Vit_D_IU","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct"
"9193","OLIVES,RIPE,CND (SMALL-EXTRA LRG)","79.99","115","0.84","10.68","2.23","6.26","3.2","0","88","3.3","4","3","8","735","0.22","0.251","0.02","0.9","0.9","0.003","0","0.037","0.015","0.009","0","0","0","0","10.3","0","403","20","0","0","237","9","0","510","1.65","0","0","1.4","1.415","7.888","0.911","0","8.4","1 tbsp","4.4","1 large","0"
"9200","ORANGES,RAW,ALL COMM VAR","86.75","47","0.94","0.12","0.44","11.75","2.4","9.35","40","0.1","10","14","181","0","0.07","0.045","0.025","0.5","53.2","0.087","0.04","0.282","0.25","0.06","30","0","30","30","8.4","0","225","11","0","11","71","116","0","129","0.18","0","0","0","0.015","0.023","0.025","0","180","1 cup, sections","184","1 large,  (3-1/16"" dia)","27"
"9206","ORANGE JUICE,RAW","88.3","45","0.7","0.2","0.4","10.4","0.2","8.4","11","0.2","11","17","200","1","0.05","0.044","0.014","0.1","50","0.09","0.03","0.4","0.19","0.04","30","0","30","30","6.2","0","200","10","0","6","33","169","0","115","0.04","0","0","0.1","0.024","0.036","0.04","0","248","1 cup","31","1 fl oz","0"
"9231","PASSION-FRUIT,(GRANADILLA),PURPLE,RAW","72.93","97","2.2","0.7","0.8","23.38","10.4","11.2","12","1.6","29","68","348","28","0.1","0.086","","0.6","30","0","0.13","1.5","","0.1","14","0","14","14","7.6","0","1272","64","0","0","743","41","0","0","0.02","0","0","0.7","0.059","0.086","0.411","0","236","1 cup","18","1 fruit, without refuse","48"
"9236","PEACHES,YEL,RAW","88.87","39","0.91","0.25","0.43","9.54","1.5","8.39","6","0.25","9","20","190","0","0.17","0.068","0.061","0.1","6.6","0.024","0.031","0.806","0.153","0.025","4","0","4","4","6.1","0","326","16","0","0","162","67","0","91","0.73","0","0","2.6","0.019","0.067","0.086","0","154","1 cup, slices","130","1 small,  (2-1/2"" dia)","4"
"9252","PEARS,RAW","83.96","57","0.36","0.14","0.32","15.23","3.1","9.75","9","0.18","7","12","116","1","0.1","0.082","0.048","0.1","4.3","0.012","0.026","0.161","0.049","0.029","7","0","7","7","5.1","0","25","1","0","1","14","2","0","44","0.12","0","0","4.4","0.022","0.084","0.094","0","140","1 cup, slices","161","1 cup, cubes","10"
"9259","PEARS,DRIED,SULFURED,UNCKD","26.69","262","1.87","0.63","1.11","69.7","7.5","62.2","34","2.1","33","59","533","6","0.39","0.371","0.327","0.2","7","0.008","0.145","1.372","0.153","0.072","0","0","0","0","23","0","3","0","0","0","2","0","0","50","0.06","0","0","20.4","0.035","0.132","0.148","0","180","1 cup,  halves","18","1 half","0"
"9266","PINEAPPLE,RAW,ALL VAR","86","50","0.54","0.12","0.22","13.12","1.4","9.85","13","0.29","12","8","109","1","0.12","0.11","0.927","0.1","47.8","0.079","0.032","0.5","0.213","0.112","18","0","18","18","5.5","0","58","3","0","0","35","0","0","0","0.02","0","0","0.7","0.009","0.013","0.04","0","165","1 cup, chunks","905","1 fruit","49"
"9286","POMEGRANATES,RAW","77.93","83","1.67","1.17","0.53","18.7","4","13.67","10","0.3","12","36","236","3","0.35","0.158","0.119","0.5","10.2","0.067","0.053","0.293","0.377","0.075","38","0","38","38","7.6","0","0","0","0","0","0","0","0","0","0.6","0","0","16.4","0.12","0.093","0.079","0","87",".5 cup, arils (seed/juice sacs)","282","1 pomegranate,  (4"" dia)","44"
"9297","RAISINS,GOLDEN SEEDLESS","14.97","302","3.39","0.46","1.66","79.52","4","59.19","53","1.79","35","115","746","12","0.32","0.363","0.308","0.7","3.2","0.008","0.191","1.142","0.14","0.323","3","0","3","3","11.1","0","0","0","0","0","0","0","0","0","0.12","0","0","3.5","0.151","0.019","0.135","0","165","1 cup,  packed","145","1 cup,  (not packed)","0"
"9298","RAISINS,SEEDLESS","15.43","299","3.07","0.46","1.85","79.18","3.7","59.19","50","1.88","32","101","749","11","0.22","0.318","0.299","0.6","2.3","0.106","0.125","0.766","0.095","0.174","5","0","5","5","11.1","0","0","0","0","0","0","0","0","0","0.12","0","0","3.5","0.058","0.051","0.037","0","165","1 cup,  packed","145","1 cup,  (not packed)","0"
"9316","STRAWBERRIES,RAW","90.95","32","0.67","0.3","0.4","7.68","2","4.89","16","0.41","13","24","153","1","0.14","0.048","0.386","0.4","58.8","0.024","0.022","0.386","0.125","0.047","24","0","24","24","5.7","0","12","1","0","0","7","0","0","26","0.29","0","0","2.2","0.015","0.043","0.155","0","152","1 cup,  halves","232","1 cup, pureed","6"
"9317","STRAWBERRIES,CND,HVY SYRUP PK,SOL&LIQUIDS","75.35","92","0.56","0.26","0.3","23.53","1.7","21.83","13","0.49","8","12","86","4","0.09","0.063","0.2","0.3","31.7","0.021","0.034","0.057","0.179","0.049","28","0","28","28","3.8","0","26","1","0","0","16","0","0","18","0.19","0","0","1.5","0.014","0.036","0.129","0","254","1 cup","","","0"
"9320","STRAWBERRIES,FRZ,SWTND,SLICED","73.18","96","0.53","0.13","0.24","25.92","1.9","24.01","11","0.59","7","13","98","3","0.06","0.02","0.25","0.7","41.4","0.016","0.051","0.401","0.108","0.03","15","0","15","15","4.6","0","24","1","0","0","14","0","0","21","0.23","0","0","1.7","0.007","0.018","0.064","0","255","1 cup, thawed","284","1 package,  (10 oz)","0"
"9326","WATERMELON,RAW","91.45","30","0.61","0.15","0.25","7.55","0.4","6.2","7","0.24","10","11","112","1","0.1","0.042","0.038","0.4","8.1","0.033","0.021","0.178","0.221","0.045","3","0","3","3","4.1","0","569","28","0","0","303","78","4532","8","0.05","0","0","0.1","0.016","0.037","0.05","0","154","1 cup, balls","152","1 cup, diced","48"
"9351","FRUIT COCKTAIL,CND,HVY SYRUP,DRND","80.4","70","0.47","0.1","0.24","18.8","1.7","17.14","7","0.29","5","12","90","6","0.08","0.086","","0.5","1.9","0.019","0.021","0.374","","0.051","3","0","3","3","2.4","0","273","14","0","0","138","52","0","112","0.6","0","0","3.9","0.014","0.018","0.042","0","214","1 cup","","","0"
"9352","BLUEBERRIES,CND,LT SYRUP,DRND","75.72","88","1.04","0.4","0.18","22.66","2.6","17.45","6","0.43","4","12","54","3","0.09","0.053","0.44","0.1","0.5","0.046","0.132","0.363","0.041","0.049","2","0","2","2","4","0","36","2","0","0","22","0","0","53","1.38","0","0","19.9","0.028","0.062","0.19","0","244","1 cup","","","0"
"9354","PINEAPPLE,CND,JUC PK,DRND","83.51","60","0.51","0.11","0.31","15.56","1.3","14.26","16","0.28","15","7","124","1","0.1","0.107","","0.4","9.4","0.102","0.021","0.284","","0.075","5","0","5","5","5.5","0","50","3","0","0","30","0","0","0","0.02","0","0","0.7","0.008","0.014","0.04","0","181","1 cup, chunks","195","1 cup, crushed","0"
"9357","APRICOTS,CND,HVY SYRUP,DRND","77.56","83","0.64","0.11","0.38","21.31","2.7","18.65","10","0.3","7","13","143","4","0.11","0.097","","0.1","3.1","0.021","0.024","0.376","","0.055","2","0","2","2","2.8","0","2924","146","0","0","1746","16","0","39","0.89","0","0","3.3","0.007","0.045","0.021","0","219","1 cup,  halves","182","1 cup, whole","0"
"9370","PEACHES,CND,HVY SYRUP,DRND","80.62","72","0.52","0.18","0.26","18.43","1.2","14.66","3","0.27","5","12","94","6","0.09","0.063","","0","0.7","0.02","0.02","0.625","0.024","0.013","9","0","9","9","3.8","0","626","31","0","0","333","85","0","33","1.19","0","0","2.4","0.013","0.047","0.066","0","222","1 cup","73","1 half","0"
"9404","GRAPEFRUIT JUICE,PINK,RAW","90","39","0.5","0.1","0.2","9.2","","","9","0.2","12","15","162","1","0.05","0.033","0.02","","38","0.04","0.02","0.2","0.189","0.044","10","0","10","10","","0","440","22","0","","","","","","","0","0","","0.014","0.013","0.024","0","247","1 cup","196","1 fruit,  yields","0"
"9407","PEACH NECTAR,CND,W/ VIT C","85.64","54","0.27","0.02","0.15","13.92","0.6","12.35","5","0.19","4","6","40","7","0.08","0.069","0.019","0.2","17.6","0.003","0.014","0.288","0.068","0.007","1","0","1","1","","0","258","13","0","","","","","","","0","0","","0.002","0.008","0.011","0","249","1 cup","31.1","1 fl oz","0"
"9408","PEAR NECTAR,CND,W/ VIT C","84.01","60","0.11","0.01","0.1","15.76","0.6","15.16","5","0.26","3","3","13","4","0.07","0.067","0.03","0.5","27","0.002","0.013","0.128","0.022","0.014","1","0","1","1","","0","1","0","0","","","","","","","0","0","","0.001","0.003","0.003","0","250","1 cup","31.2","1 fl oz","0"
"9421","DATES,MEDJOOL","21.32","277","1.81","0.15","1.74","74.97","6.7","66.47","64","0.9","54","62","696","1","0.44","0.362","0.296","","0","0.05","0.06","1.61","0.805","0.249","15","0","15","15","9.9","","149","7","","0","89","0","0","23","","0","0","2.7","","","","","24","1 date, pitted","","","8"
"11008","ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT","84.08","53","2.89","0.34","0.74","11.95","5.7","0.99","21","0.61","42","73","286","60","0.4","0.127","0.225","0.2","7.4","0.05","0.089","1.11","0.24","0.081","89","0","89","89","34.4","0","13","1","0","0","8","0","0","464","0.19","0","0","14.8","0.079","0.011","0.145","0","120","1 artichoke,  medium","84",".5 cup, hearts","60"
"11029","BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW","90.7","29","4.2","0.5","0.5","4.1","","","17","0.81","21","37","187","6","0.4","0.159","0.182","0.6","38.7","0.37","0.25","2.92","0.368","0.085","59","0","59","59","","0","2","0","0","","","","","","","0","0","","0.072","0.039","0.276","0","184","1 cup","","","0"
"11030","BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT","89.3","33","4.83","0.58","0.58","4.72","","","19","0.89","23","38","194","7","0.44","0.174","0.199","0.6","35.6","0.362","0.273","3.024","0.381","0.093","47","0","47","47","","0","2","0","0","","","","","","","0","0","","0.083","0.045","0.318","0","","","","","0"
"11053","BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT","89.22","35","1.89","0.28","0.73","7.88","3.2","3.63","44","0.65","18","29","146","1","0.25","0.057","0.285","0.2","9.7","0.074","0.097","0.614","0.074","0.056","33","0","33","33","16.9","0","633","32","0","0","380","0","0","641","0.46","0","0","47.9","0.064","0.011","0.145","0","125","1 cup","","","0"
"11058","BEANS,SNAP,CND,ALL STYLES,SEASONED,SOL&LIQUIDS","94.3","16","0.83","0.2","1.18","3.49","1.5","","22","0.47","13","16","93","373","0.14","0.06","0.312","0.2","3.1","0.025","0.049","0.233","0.098","0.044","18","0","18","18","","0","525","26","0","","","","","","","0","0","","0.045","0.008","0.102","0","114",".5 cup","439","1 can,  (303 x 406)","0"
"11090","BROCCOLI,RAW","89.3","34","2.82","0.37","0.87","6.64","2.6","1.7","47","0.73","21","66","316","33","0.41","0.049","0.21","2.5","89.2","0.071","0.117","0.639","0.573","0.175","63","0","63","63","18.7","0","623","31","0","25","361","1","0","1403","0.78","0","0","101.6","0.039","0.011","0.038","0","91","1 cup, chopped","608","1 bunch","39"
"11091","BROCCOLI,CKD,BLD,DRND,WO/SALT","89.25","35","2.38","0.41","0.77","7.18","3.3","1.39","40","0.67","21","67","293","41","0.45","0.061","0.194","1.6","64.9","0.063","0.123","0.553","0.616","0.2","108","0","108","108","40.1","0","1548","77","0","0","929","0","0","1080","1.45","0","0","141.1","0.079","0.04","0.17","0","78",".5 cup, chopped","280","1 stalk,  large (11""-12"" long)","0"
"11109","CABBAGE,RAW","92.18","25","1.28","0.1","0.64","5.8","2.5","3.2","40","0.47","12","26","170","18","0.18","0.019","0.16","0.3","36.6","0.061","0.04","0.234","0.212","0.124","43","0","43","43","10.7","0","98","5","0","33","42","0","0","30","0.15","0","0","76","0.034","0.017","0.017","0","89","1 cup, chopped","70","1 cup, shredded","20"
"11110","CABBAGE,CKD,BLD,DRND,WO/SALT","92.57","23","1.27","0.06","0.59","5.51","1.9","2.79","48","0.17","15","33","196","8","0.2","0.017","0.205","0.6","37.5","0.061","0.038","0.248","0.174","0.112","30","0","30","30","20.3","0","80","4","0","0","48","0","0","27","0.14","0","0","108.7","0","0.019","0.023","0","75",".5 cup, shredded","1262","1 head","0"
"11112","CABBAGE,RED,RAW","90.39","31","1.43","0.16","0.64","7.37","2.1","3.83","45","0.8","16","30","243","27","0.22","0.017","0.243","0.6","57","0.064","0.069","0.418","0.147","0.209","18","0","18","18","17.1","0","1116","56","0","0","670","0","20","329","0.11","0","0","38.2","0.021","0.012","0.08","0","89","1 cup, chopped","70","1 cup, shredded","20"
"11124","CARROTS,RAW","88.29","41","0.93","0.24","0.97","9.58","2.8","4.74","33","0.3","12","35","320","69","0.24","0.045","0.143","0.1","5.9","0.066","0.058","0.983","0.273","0.138","19","0","19","19","8.8","0","16706","835","0","3477","8285","0","1","256","0.66","0","0","13.2","0.037","0.014","0.117","0","128","1 cup, chopped","110","1 cup, grated","11"
"11125","CARROTS,CKD,BLD,DRND,WO/SALT","90.17","35","0.76","0.18","0.67","8.22","3","3.45","30","0.34","10","30","235","58","0.2","0.017","0.155","0.7","3.6","0.066","0.044","0.645","0.232","0.153","14","0","14","14","8.8","0","17033","852","0","3776","8332","0","0","687","1.03","0","0","13.7","0.03","0.006","0.089","0","9.7","1 tbsp","78",".5 cup, slices","0"
"11135","CAULIFLOWER,RAW","92.07","25","1.92","0.28","0.76","4.97","2","1.91","22","0.42","15","44","299","30","0.27","0.039","0.155","0.6","48.2","0.05","0.06","0.507","0.667","0.184","57","0","57","57","44.3","0","0","0","0","0","0","0","0","1","0.08","0","0","15.5","0.13","0.034","0.031","0","107","1 cup, chopped (1/2"" pieces)","13","1 floweret","61"
"11136","CAULIFLOWER,CKD,BLD,DRND,WO/SALT","93","23","1.84","0.45","0.6","4.11","2.3","2.08","16","0.32","9","32","142","15","0.17","0.018","0.132","0.6","44.3","0.042","0.052","0.41","0.508","0.173","44","0","44","44","39.1","0","12","1","0","0","7","0","0","29","0.07","0","0","13.8","0.07","0.032","0.217","0","62",".5 cup,  (1"" pieces)","54","3 flowerets","0"
"11192","COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,WO/ SALT","75.48","97","3.17","0.38","0.65","20.32","5","3.23","128","1.12","52","51","418","4","1.03","0.133","0.572","2.5","2.2","0.101","0.148","1.403","0.154","0.065","127","0","127","127","32.9","0","791","40","0","0","475","0","0","0","0.22","0","0","26.6","0.096","0.034","0.161","0","165","1 cup","","","0"
"11205","CUCUMBER,WITH PEEL,RAW","95.23","15","0.65","0.11","0.38","3.63","0.5","1.67","16","0.28","13","24","147","2","0.2","0.041","0.079","0.3","2.8","0.027","0.033","0.098","0.259","0.04","7","0","7","7","6","0","105","5","0","11","45","26","0","23","0.03","0","0","16.4","0.037","0.005","0.032","0","52",".5 cup, slices","301","1 cucumber,  (8-1/4"")","3"
"11210","EGGPLANT,CKD,BLD,DRND,WO/SALT","89.67","35","0.83","0.23","0.54","8.73","2.5","3.2","6","0.25","11","15","123","1","0.12","0.059","0.113","0.1","1.3","0.076","0.02","0.6","0.075","0.086","14","0","14","14","9.4","0","37","2","0","0","22","0","0","0","0.41","0","0","2.9","0.044","0.02","0.093","0","99","1 cup,  (1"" cubes)","","","0"
"11215","GARLIC,RAW","58.58","149","6.36","0.5","1.5","33.06","2.1","1","181","1.7","25","153","401","17","1.16","0.299","1.672","14.2","31.2","0.2","0.11","0.7","0.596","1.235","3","0","3","3","23.2","0","9","0","0","0","5","0","0","16","0.08","0","0","1.7","0.089","0.011","0.249","0","136","1 cup","2.8","1 tsp","13"
"11249","LENTILS,SPROUTED,CKD,STIR-FRIED,WO/SALT","68.7","101","8.8","0.45","0.8","21.25","","","14","3.1","35","153","284","10","1.6","0.337","0.502","0.6","12.6","0.22","0.09","1.2","0.571","0.164","67","0","67","67","","0","41","2","0","","","","","","","0","0","","0.053","0.095","0.201","0","","","","","0"
"11257","LETTUCE,RED LEAF,RAW","95.64","16","1.33","0.22","0.55","2.26","0.9","0.48","33","1.2","12","28","187","25","0.2","0.028","0.203","1.5","3.7","0.064","0.077","0.321","0.144","0.1","36","0","36","36","11.8","0","7492","375","0","0","4495","0","0","1724","0.15","0","0","140.3","0.017","0.005","0.072","0","28","1 cup, shredded","2.6","1 leaf, inner","20"
"11260","MUSHROOMS,WHITE,RAW","92.45","22","3.09","0.34","0.85","3.26","1","1.98","3","0.5","9","86","318","5","0.52","0.318","0.047","9.3","2.1","0.081","0.402","3.607","1.497","0.104","17","0","17","17","17.3","0.04","0","0","0","0","0","0","0","0","0.01","0.2","7","0","0.05","0","0.16","0","70","1 cup, pieces or slices","96","1 cup, whole","3"
"11261","MUSHROOMS,WHITE,CKD,BLD,DRND,WO/ SALT","91.08","28","2.17","0.47","0.99","5.29","2.2","2.34","6","1.74","12","87","356","2","0.87","0.504","0.115","11.9","4","0.073","0.3","4.46","2.16","0.095","18","0","18","18","20.4","0","0","0","0","0","0","0","0","0","0.01","0.2","8","0","0.061","0.008","0.183","0","156","1 cup, pieces","9.8","1 tbsp","0"
"11282","ONIONS,RAW","89.11","40","1.1","0.1","0.35","9.34","1.7","4.24","23","0.21","10","29","146","4","0.17","0.039","0.129","0.5","7.4","0.046","0.027","0.116","0.123","0.12","19","0","19","19","6.1","0","2","0","0","0","1","0","0","4","0.02","0","0","0.4","0.042","0.013","0.017","0","160","1 cup, chopped","115","1 cup, sliced","10"
"11283","ONIONS,CKD,BLD,DRND,WO/SALT","87.86","44","1.36","0.19","0.44","10.15","1.4","4.73","22","0.24","11","35","166","3","0.21","0.067","0.153","0.6","5.2","0.042","0.023","0.165","0.113","0.129","15","0","15","15","6.8","0","2","0","0","0","1","0","0","4","0.02","0","0","0.5","0.031","0.027","0.073","0","210","1 cup","15","1 tbsp, chopped","0"
"11291","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW","89.83","32","1.83","0.19","0.81","7.34","2.6","2.33","72","1.48","20","37","276","16","0.39","0.083","0.16","0.6","18.8","0.055","0.08","0.525","0.075","0.061","64","0","64","64","5.7","0","997","50","0","0","598","0","0","1137","0.55","0","0","207","0.032","0.027","0.074","0","100","1 cup, chopped","6","1 tbsp, chopped","4"
"11301","PEAS,EDIBLE-PODDED,BLD,DRND,WO/ SALT","88.91","42","3.27","0.23","0.54","7.05","2.8","3.99","42","1.97","26","55","240","4","0.37","0.077","0.168","0.7","47.9","0.128","0.076","0.539","0.673","0.144","29","0","29","29","17.4","0","1030","52","0","42","597","0","0","702","0.39","0","0","25","0.044","0.023","0.1","0","160","1 cup","","","0"
"11305","PEAS,GRN,CKD,BLD,DRND,WO/SALT","77.87","84","5.36","0.22","0.92","15.63","5.5","5.93","27","1.54","39","117","271","3","1.19","0.173","0.525","1.9","14.2","0.259","0.149","2.021","0.153","0.216","63","0","63","63","29.7","0","801","40","0","22","470","0","0","2593","0.14","0","0","25.9","0.039","0.019","0.102","0","160","1 cup","","","0"
"11310","PEAS,GRN,CND,SEASONED,SOL&LIQUIDS","86.51","50","3.09","0.27","0.88","9.25","2","","15","1.2","15","54","122","254","0.65","0.099","0.268","1.3","11.5","0.096","0.071","0.69","0.089","0.098","29","0","29","29","","0","433","22","0","","","","","","","0","0","","0.048","0.024","0.127","0","227","1 cup","114",".5 cup","0"
"11363","POTATOES,BKD,FLESH,WO/SALT","75.42","93","1.96","0.1","0.97","21.55","1.5","1.7","5","0.35","25","50","391","5","0.29","0.215","0.161","0.3","12.8","0.105","0.021","1.395","0.555","0.301","9","0","9","9","14.5","0","0","0","0","0","0","0","0","0","0.04","0","0","0.3","0.026","0.002","0.043","0","61",".5 cup","156","1 potato,  (2-1/3"" x 4-3/4"")","23"
"11371","POTATOES,MSHD,HOME-PREPARED,WHL MILK & MARGARINE ADDED","75.25","113","1.96","4.2","1.65","16.94","1.5","1.41","21","0.26","19","48","326","333","0.3","0.155","0.113","0.8","10.5","0.092","0.042","1.174","0.476","0.247","9","0","9","9","13.5","0.07","187","44","41","0","30","0","0","7","0.42","0.2","7","6","0.745","1.44","0.892","1","210","1 cup","","","0"
"11373","POTATOES,AU GRATIN,HOME-PREPARED FROM RECIPE USING BUTTER","74","132","5.06","7.59","2.09","11.27","1.8","","119","0.64","20","113","396","433","0.69","0.16","0.161","2.7","9.9","0.064","0.116","0.993","0.387","0.174","11","3","8","13","","0","264","64","61","","","","","","","0","0","","4.733","2.149","0.276","23","245","1 cup","","","0"
"11395","POTATOES,FRENCH FR,SHOESTRNG,SALT ADDED IN PROC,FRZ,OVEN-HTD","56.62","199","2.9","6.76","2.07","31.66","2.8","0.31","12","0.8","25","112","505","400","0.43","0.114","0.187","0.6","14.2","0.129","0.034","2.28","0.554","0.192","33","","33","","","0","5","0","","0","3","0","0","17","0.16","0","0","2.7","1.267","4.058","0.345","0","21","10 strip","","","0"
"11458","SPINACH,CKD,BLD,DRND,WO/ SALT","91.21","23","2.97","0.26","1.81","3.75","2.4","0.43","136","3.57","87","56","466","70","0.76","0.174","0.935","1.5","9.8","0.095","0.236","0.49","0.145","0.242","146","0","146","146","19.7","0","10481","524","0","0","6288","0","0","11308","2.08","0","0","493.6","0.043","0.006","0.109","0","180","1 cup","","","0"
"11510","SWEET POTATO,CKD,BLD,WO/ SKN","80.13","76","1.37","0.14","0.63","17.72","2.5","5.74","27","0.72","18","32","230","27","0.2","0.094","0.266","0.2","12.8","0.056","0.047","0.538","0.581","0.165","6","0","6","6","10.8","0","15740","787","0","0","9444","0","0","0","0.94","0","0","2.1","0.031","0","0.061","0","328","1 cup, mashed","151","1 medium","0"
"11527","TOMATOES,GREEN,RAW","93","23","1.2","0.2","0.5","5.1","1.1","4","13","0.51","10","28","204","13","0.07","0.09","0.1","0.4","23.4","0.06","0.04","0.5","0.5","0.081","9","0","9","9","8.6","0","642","32","0","78","346","0","0","0","0.38","0","0","10.1","0.028","0.03","0.081","0","180","1 cup","182","1 large","9"
"11530","TOMATOES,RED,RIPE,CKD","94.34","18","0.95","0.11","0.6","4.01","0.7","2.49","11","0.68","9","28","218","11","0.14","0.075","0.105","0.5","22.8","0.036","0.022","0.532","0.129","0.079","13","0","13","13","6.9","0","489","24","0","0","293","0","3041","94","0.56","0","0","2.8","0.015","0.016","0.044","0","240","1 cup","246","2 medium","0"
"11533","TOMATOES,RED,RIPE,CND,STWD","91.54","26","0.91","0.19","1.17","6.19","1","3.52","34","1.33","12","20","207","221","0.17","0.112","0.059","0.6","7.9","0.046","0.035","0.714","0.114","0.017","5","0","5","5","10.4","0","172","9","0","0","103","0","4088","126","0.83","0","0","2.4","0.026","0.029","0.077","0","255","1 cup","","","0"
"11546","TOMATO PRODUCTS,CND,PASTE,WO/ SALT ADDED","73.5","82","4.32","0.47","2.8","18.91","4.1","12.18","36","2.98","42","83","1014","59","0.63","0.365","0.302","5.3","21.9","0.06","0.153","3.076","0.142","0.216","12","0","12","12","38.5","0","1525","76","0","29","901","0","28764","0","4.3","0","0","11.4","0.1","0.067","0.16","0","66",".25 cup","262","1 cup","0"
"11579","VEGETABLES,MXD,CND,SOL&LIQUIDS","90.24","36","1.42","0.25","0.96","7.13","3.8","","21","0.65","15","37","138","224","0.51","0.104","0.427","0.2","3.8","0.034","0.04","0.482","0.114","0.077","18","0","18","18","","0","5081","","0","","","","","","","0","0","","0.051","0.016","0.12","0","245","1 cup","","","0"
"11657","POTATOES,MSHD,HOME-PREPARED,WHL MILK ADDED","78.48","83","1.91","0.57","1.46","17.57","1.5","1.48","24","0.27","18","46","296","302","0.28","0.145","0.119","0.8","6.2","0.089","0.041","1.118","0.485","0.232","8","0","8","8","13.3","0.07","27","7","7","0","2","0","0","8","0.02","0.2","8","1.8","0.302","0.124","0.065","2","210","1 cup","","","0"
"11658","SPINACH SOUFFLE","70.73","172","7.89","12.95","2.52","5.9","0.7","1.85","165","1.19","30","139","231","566","0.85","0.059","0.269","11.1","7.3","0.082","0.263","0.479","0.438","0.098","73","6","67","77","61","0.4","2891","244","120","3","1493","2","0","3249","0.93","0.8","31","126.5","6.091","3.021","0.61","118","136","1 cup","813","1 recipe,  yield","0"
"11672","POTATO PANCAKES","47.77","268","6.08","14.76","3.59","27.81","3.3","1.79","32","1.67","36","128","622","764","0.7","0.18","0.26","8.9","27.6","0.158","0.173","1.672","0.757","0.448","41","6","35","45","74.2","0.29","113","32","31","0","4","2","0","87","0.23","0.3","11","2.7","2.496","3.73","7.516","95","22","1 small,  2-3/4 in. dia., 5/8 in. thick.","37","1 medium,  3-1/4 in. x 3-5/8 in., 5/8 in. thick.","0"
"11757","CARROTS,CKD,BLD,DRND,W/SALT","90.17","35","0.76","0.18","0.67","8.22","3","3.45","30","0.34","10","30","235","302","0.2","0.017","0.155","0.7","3.6","0.066","0.044","0.645","0.232","0.153","2","0","2","2","8.8","0","17033","852","0","3776","8332","0","0","194","1.03","0","0","13.7","0.037","0.007","0.107","0","9.7","1 tbsp","78",".5 cup, slices","0"
"11783","EGGPLANT,CKD,BLD,DRND,W/SALT","89.67","33","0.83","0.23","1.13","8.14","2.5","3.2","6","0.25","11","15","123","239","0.12","0.059","0.113","0.1","1.3","0.076","0.02","0.6","0.075","0.086","14","0","14","14","9.4","0","37","2","0","0","22","0","0","0","0.41","0","0","2.9","0.044","0.02","0.093","0","99","1 cup,  (1"" cubes)","","","0"
"12006","CHIA SEEDS,DRIED","5.8","486","16.54","30.74","4.8","42.12","34.4","","631","7.72","335","860","407","16","4.58","0.924","2.723","55.2","1.6","0.62","0.17","8.83","","","49","","49","","","0","54","","","","","","","","0.5","","","","3.33","2.309","23.665","0","28.35","1 oz","","","0"
"12061","ALMONDS","4.41","579","21.15","49.93","2.97","21.55","12.5","4.35","269","3.71","270","481","733","1","3.12","1.031","2.179","4.1","0","0.205","1.138","3.618","0.471","0.137","44","0","44","44","52.1","0","2","0","0","0","1","0","0","1","25.63","0","0","0","3.802","31.551","12.329","0","143","1 cup, whole","92","1 cup, sliced","60"
"12065","ALMONDS,OIL RSTD,WO/SALT","2.8","607","21.23","55.17","3.13","17.68","10.5","4.55","291","3.68","274","466","699","1","3.07","0.955","2.46","4.1","0","0.092","0.781","3.665","0.229","0.118","27","0","27","27","52.1","0","1","0","0","0","1","0","0","1","25.97","0","0","0","4.208","34.793","13.519","0","157","1 cup, whole kernels","28.35","1 oz,  (22 whole kernels)","0"
"12071","ALMOND PASTE","14.08","458","9","27.74","1.37","47.81","4.8","36.25","172","1.6","130","258","314","9","1.48","0.454","0.856","4.2","0.1","0.082","0.414","1.422","0.113","0.036","73","0","73","73","28.5","0","0","0","0","0","0","0","0","1","13.54","0","0","0","2.629","18.012","5.821","0","28.35","1 oz","227","1 cup,  firmly packed","0"
